jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
9;21/11/1995;32-277;6;9;W ;(+6);45;12;25;0.48;0;2;0;12;13;0.923;0;8;8;5;2;2;0;36;31
10;22/11/1995;32-278;6;33;W ;(+9);43;15;27;0.556;1;1;1;7;8;0.875;2;7;9;2;4;0;5;38;26.6
11;24/11/1995;32-280;6;36;W ;(+5);40;9;21;0.429;2;5;0.4;14;17;0.824;0;8;8;6;1;0;4;34;24.1
12;26/11/1995;32-282;6;34;L ;(-5);40;6;19;0.316;0;4;0;10;11;0.909;2;3;5;4;2;0;4;22;13.4
13;27/11/1995;32-283;6;31;W ;(+3);41;13;22;0.591;0;3;0;7;8;0.875;1;2;3;8;4;0;4;33;28.1
14;30/11/1995;32-286;6;37;W ;(+6);39;14;26;0.538;0;2;0;1;2;0.5;1;2;3;4;3;0;2;29;20.7
15;02/12/1995;32-288;6;16;W ;(+6);43;13;22;0.591;0;2;0;11;14;0.786;5;6;11;5;4;1;2;37;35.9
16;06/12/1995;32-292;6;26;W ;(+7);45;8;27;0.296;0;0;;6;6;1;0;3;3;8;0;0;0;22;11.6
17;08/12/1995;32-294;6;33;W ;(+19);36;11;23;0.478;0;1;0;6;6;1;1;4;5;6;3;1;1;28;23.5
18;09/12/1995;32-295;6;20;W ;(+12);42;16;28;0.571;0;0;;13;16;0.813;3;2;5;4;2;0;2;45;34.9
19;13/12/1995;32-299;6;28;W ;(+9);43;15;30;0.5;4;7;0.571;2;6;0.333;3;3;6;2;2;1;4;36;21.3
20;14/12/1995;32-300;6;1;W ;(+19);31;8;16;0.5;1;4;0.25;5;5;1;1;2;3;1;0;0;3;22;11.8
21;16/12/1995;32-302;6;17;W ;(+20);38;5;20;0.25;0;1;0;10;10;1;2;5;7;6;5;1;3;20;17
22;18/12/1995;32-304;6;2;W ;(+9);40;16;27;0.593;0;1;0;5;8;0.625;0;6;6;3;5;0;2;37;29.4
23;19/12/1995;32-305;6;9;W ;(+13);36;12;23;0.522;0;1;0;8;8;1;1;3;4;4;1;0;0;32;25.7
24;22/12/1995;32-308;6;35;W ;(+9);40;9;19;0.474;2;3;0.667;7;7;1;3;7;10;5;3;0;2;27;25.6
25;23/12/1995;32-309;6;36;W ;(+14);37;12;22;0.545;1;2;0.5;5;5;1;1;6;7;8;3;1;2;30;28.4
26;26/12/1995;32-312;6;14;L ;(-6);43;11;28;0.393;1;2;0.5;7;9;0.778;2;8;10;4;1;2;2;30;19.8
27;29/12/1995;32-315;6;14;W ;(+27);36;8;20;0.4;0;2;0;13;18;0.722;3;4;7;3;3;0;4;29;19
28;30/12/1995;32-316;6;1;W ;(+2);42;14;27;0.519;1;2;0.5;4;6;0.667;2;5;7;6;4;1;5;33;24.5
29;03/01/1996;32-320;6;13;W ;(+14);40;17;29;0.586;1;1;1;3;4;0.75;3;5;8;5;3;0;1;38;32
30;04/01/1996;32-321;6;5;W ;(+24);34;11;20;0.55;0;1;0;5;7;0.714;1;4;5;5;1;0;1;27;21.6
31;06/01/1996;32-323;6;20;W ;(+29);37;10;20;0.5;2;4;0.5;10;12;0.833;1;1;2;3;3;1;0;32;27.2
32;10/01/1996;32-327;6;34;W ;(+26);36;14;25;0.56;1;2;0.5;6;7;0.857;1;13;14;5;0;1;4;35;26.7
33;13/01/1996;32-330;6;29;W ;(+27);34;18;28;0.643;5;7;0.714;7;7;1;3;7;10;2;1;1;2;48;40.5
34;15/01/1996;32-332;6;39;W ;(+7);39;16;31;0.516;3;7;0.429;11;11;1;0;4;4;2;1;0;5;46;27.3
35;16/01/1996;32-333;6;29;W ;(+12);32;13;22;0.591;2;6;0.333;4;6;0.667;3;4;7;2;3;0;1;32;27.3
36;18/01/1996;32-335;6;35;W ;(+3);43;14;28;0.5;4;8;0.5;6;8;0.75;4;5;9;2;1;0;1;38;28.9
37;21/01/1996;32-338;6;11;W ;(+15);43;12;23;0.522;3;5;0.6;9;11;0.818;3;5;8;4;2;1;3;36;29.6
38;23/01/1996;32-340;6;26;W ;(+20);36;13;23;0.565;3;4;0.75;4;5;0.8;1;5;6;4;3;0;2;33;27.3
39;24/01/1996;32-341;6;37;W ;(+20);26;4;10;0.4;0;1;0;4;6;0.667;1;2;3;6;0;0;1;12;8.7
40;26/01/1996;32-343;6;19;W ;(+22);35;10;21;0.476;1;3;0.333;4;5;0.8;4;5;9;4;3;2;8;25;15.8
41;28/01/1996;32-345;6;30;W ;(+11);42;13;25;0.52;0;2;0;5;7;0.714;3;3;6;6;3;1;2;31;24.8
42;30/01/1996;32-347;6;13;W ;(+11);43;7;26;0.269;1;6;0.167;7;8;0.875;3;5;8;1;4;0;2;22;11.3
43;01/02/1996;32-349;6;32;W ;(+20);38;7;16;0.438;0;1;0;13;14;0.929;0;2;2;1;2;1;4;27;16.6
44;02/02/1996;32-350;6;17;W ;(+15);39;8;17;0.471;0;0;;1;1;1;3;4;7;7;1;0;3;17;13.7
45;04/02/1996;32-352;6;10;L ;(-6);42;13;29;0.448;4;7;0.571;9;11;0.818;0;3;3;4;3;1;4;39;26.1
46;06/02/1996;32-354;6;30;L ;(-10);40;9;22;0.409;0;2;0;10;17;0.588;2;0;2;6;3;0;3;28;17
47;07/02/1996;32-355;6;12;W ;(+4);46;15;31;0.484;0;0;;10;13;0.769;6;5;11;6;3;2;2;40;34.2
48;13/02/1996;32-361;6;39;W ;(+13);36;11;23;0.478;2;3;0.667;8;10;0.8;2;7;9;3;0;0;4;32;20.3
49;15/02/1996;32-363;6;11;W ;(+3);49;10;30;0.333;0;1;0;12;12;1;2;6;8;5;3;0;1;32;22.9
50;16/02/1996;32-364;6;21;W ;(+3);38;13;23;0.565;4;4;1;5;5;1;1;6;7;4;0;1;2;35;27.7
51;18/02/1996;33-001;6;14;W ;(+8);42;16;29;0.552;3;4;0.75;9;10;0.9;4;1;5;7;3;2;3;44;38.3
52;20/02/1996;33-003;6;8;W ;(+26);35;6;19;0.316;0;0;;2;3;0.667;3;6;9;6;0;0;0;14;9.6
53;22/02/1996;33-005;6;1;W ;(+5);43;15;26;0.577;2;2;1;2;2;1;1;2;3;3;0;1;2;34;23.9
54;23/02/1996;33-006;6;19;L ;(-9);40;9;21;0.429;1;4;0.25;12;13;0.923;3;6;9;5;4;0;3;31;26.3
55;25/02/1996;33-008;6;28;W ;(+20);40;8;19;0.421;1;1;1;6;8;0.75;2;3;5;7;2;0;1;23;19.5
56;27/02/1996;33-010;6;21;W ;(+21);41;11;24;0.458;2;3;0.667;11;12;0.917;2;4;6;7;2;0;1;35;29.9
57;01/03/1996;33-013;6;12;W ;(+23);35;7;17;0.412;1;3;0.333;2;3;0.667;0;3;3;6;6;0;3;17;15.2
58;02/03/1996;33-014;6;2;W ;(+32);32;8;15;0.533;0;2;0;5;8;0.625;3;5;8;8;4;1;1;21;25.4
59;05/03/1996;33-017;6;20;W ;(+9);32;12;20;0.6;4;5;0.8;5;6;0.833;4;4;8;4;2;0;3;33;29.2
60;07/03/1996;33-019;6;11;W ;(+21);38;21;28;0.75;2;4;0.5;9;10;0.9;2;9;11;2;6;0;4;53;47.7
61;10/03/1996;33-022;6;26;L ;(-32);43;12;26;0.462;2;4;0.5;6;7;0.857;1;7;8;3;1;1;7;32;16.6
62;13/03/1996;33-025;6;39;W ;(+17);36;12;25;0.48;2;6;0.333;11;12;0.917;0;6;6;5;1;0;3;37;26.4
