jogo;data_jogo;serie;jogo_serie;cod_equipe;cod_equipe_opont;resultado;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
21;12/06/1992;FIN;5;6;31;W (+13);42;14;23;0.609;2;4;0.5;16;19;0.842;0;5;5;4;0;1;4;46;33.3
22;14/06/1992;FIN;6;6;31;W (+4);43;13;24;0.542;2;3;0.667;5;5;1;1;3;4;4;4;1;4;33;25.3
1;30/04/1993;EC1;1;6;1;W (+24);29;15;26;0.577;2;4;0.5;3;4;0.75;3;4;7;5;0;0;0;35;28
2;02/05/1993;EC1;2;6;1;W (+15);38;10;24;0.417;2;4;0.5;7;8;0.875;0;6;6;4;3;4;0;29;24.2
3;04/05/1993;EC1;3;6;1;W (+10);40;16;28;0.571;2;5;0.4;5;5;1;0;7;7;4;2;1;4;39;27.8
4;11/05/1993;ECS;1;6;8;W (+7);42;16;30;0.533;0;4;0;11;11;1;0;0;0;4;3;1;3;43;30.7
5;13/05/1993;ECS;2;6;8;W (+19);31;8;18;0.444;0;2;0;2;5;0.4;2;3;5;6;2;0;2;18;13.9
6;15/05/1993;ECS;3;6;8;W (+6);40;12;24;0.5;0;1;0;8;10;0.8;2;4;6;5;2;0;2;32;24.9
7;17/05/1993;ECS;4;6;8;W (+2);40;11;24;0.458;2;2;1;7;9;0.778;3;6;9;6;2;1;4;31;23.8
8;23/05/1993;ECF;1;6;26;L (-8);43;10;27;0.37;2;4;0.5;5;6;0.833;1;1;2;5;4;0;1;27;17.2
9;25/05/1993;ECF;2;6;26;L (-5);39;12;32;0.375;1;7;0.143;11;13;0.846;3;6;9;1;2;0;3;36;20
10;29/05/1993;ECF;3;6;26;W (+20);38;3;18;0.167;0;0;;16;17;0.941;1;7;8;11;2;2;2;22;21.7
11;31/05/1993;ECF;4;6;26;W (+10);39;18;30;0.6;6;9;0.667;12;14;0.857;0;6;6;2;2;1;2;54;41.3
12;02/06/1993;ECF;5;6;26;W (+3);45;11;24;0.458;0;1;0;7;9;0.778;2;8;10;14;2;1;5;29;26.3
13;04/06/1993;ECF;6;6;26;W (+8);45;8;24;0.333;1;4;0.25;8;9;0.889;0;2;2;9;3;2;1;25;19.7
14;09/06/1993;FIN;1;6;30;W (+8);43;14;28;0.5;0;1;0;3;4;0.75;2;5;7;5;5;1;2;31;25.9
15;11/06/1993;FIN;2;6;30;W (+3);40;18;36;0.5;2;2;1;4;5;0.8;5;7;12;9;2;0;5;42;31.7
16;13/06/1993;FIN;3;6;30;L (-8);57;19;43;0.442;3;9;0.333;3;6;0.5;3;6;9;6;2;1;3;44;26.1
